msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,horse_rider_casualties_2018_2022,car_occupant_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022
E02006650,137,123,0,5,9,1,15,7,7,45,93,33
E02000215,136,163,0,17,31,0,37,6,6,40,96,37
E02000455,136,95,1,8,19,0,27,4,4,44,93,42
E02000593,136,60,0,11,22,0,10,5,5,45,91,30
E02000697,136,73,0,31,11,0,14,5,5,33,103,38
E02000834,136,110,0,56,13,0,7,5,5,42,96,39
E02000868,136,97,0,31,15,0,24,4,4,43,93,37
E02000975,136,42,0,15,8,0,10,5,5,48,88,35
E02001521,136,114,3,3,19,0,11,7,7,40,97,27
E02002063,136,91,0,6,23,0,3,5,5,51,86,33
E02004187,136,112,0,3,9,0,12,5,5,33,104,45
E02004229,136,84,2,3,4,0,5,4,5,36,100,40
E02004784,136,36,0,4,2,0,4,4,4,32,106,45
E02005338,136,62,1,9,6,0,6,7,6,47,91,35
E02005372,136,50,3,1,1,0,8,4,4,50,86,33
E02005924,136,83,2,8,6,0,6,7,7,46,90,38
E02006504,136,34,0,1,0,1,1,3,4,39,97,32
W02000398,136,24,0,7,4,0,2,6,6,76,62,26
E02000120,135,135,3,33,23,0,49,5,5,44,92,46
E02000247,135,123,0,13,19,0,18,6,6,39,96,41
E02000425,135,117,0,12,23,0,50,4,4,40,95,37
E02000479,135,102,0,5,18,0,12,5,5,40,95,33
E02002566,135,46,0,6,11,0,2,5,5,42,94,36
E02003161,135,79,0,6,15,0,15,4,4,44,91,42
E02003223,135,81,1,10,7,0,9,6,6,25,111,28
E02004013,135,53,0,1,3,0,2,9,7,42,93,38
E02004121,135,61,0,8,6,0,2,4,4,40,95,37
E02004958,135,46,1,3,4,0,5,4,4,32,104,34
E02005066,135,70,1,4,6,0,5,5,5,40,96,39
E02005082,135,171,1,7,16,0,10,5,5,41,94,40
E02005124,135,139,3,5,19,0,12,5,5,32,103,24
E02005444,135,89,0,13,12,0,12,7,7,40,95,35
E02005446,135,72,1,14,12,0,6,4,4,42,93,34
E02005649,135,55,0,5,3,0,4,8,8,42,95,37
E02005683,135,47,1,2,2,0,6,8,8,49,89,32
E02006397,135,53,0,6,2,0,7,4,4,25,110,42
E02006590,135,71,2,10,7,0,9,5,5,32,103,31
E02000360,134,140,1,43,25,0,24,6,6,42,92,33
E02000596,134,39,1,12,9,0,8,5,5,42,92,44
E02000816,134,136,1,28,15,0,52,5,5,38,96,39
E02000902,134,94,0,12,12,0,18,5,5,52,83,34
E02001881,134,0,0,0,0,0,0,5,5,47,87,32
E02002058,134,106,1,7,11,0,6,6,6,46,88,36
E02002135,134,71,0,5,13,0,2,4,4,43,91,37
E02002638,134,81,2,7,22,0,10,4,4,55,79,38
E02003408,134,96,1,9,13,0,9,6,6,31,103,40
E02004457,134,88,1,3,11,0,11,6,5,30,105,35
E02004703,134,103,1,9,7,0,10,6,6,38,99,39
E02006634,134,77,4,5,4,0,5,5,6,34,101,35
E02006665,134,54,0,1,6,0,2,6,4,35,100,42
W02000107,134,93,3,3,3,0,6,7,7,33,102,41
E02000079,133,90,1,14,16,0,9,5,5,46,87,34
E02000134,133,114,1,16,18,0,23,7,7,52,81,20
E02000644,133,139,0,33,17,0,52,5,5,47,86,27
E02000772,133,94,0,11,12,0,6,4,4,34,99,32
E02000820,133,123,1,43,14,0,20,6,6,45,89,34
E02001870,133,0,0,1,2,0,2,6,6,52,81,29
E02002622,133,159,1,6,25,0,10,6,6,42,91,33
E02002927,133,63,4,5,5,0,7,7,7,36,97,38
E02003525,133,95,2,16,17,0,8,4,4,41,92,32
E02003547,133,81,1,27,10,0,10,5,5,34,99,47
E02005091,133,63,2,8,6,1,6,4,4,34,99,40
E02005222,133,49,2,2,1,0,1,4,4,42,91,40
E02005225,133,48,0,3,4,0,7,4,4,29,105,33
E02005471,133,101,3,16,14,1,8,5,5,43,90,30
E02005895,133,44,0,5,4,0,4,6,5,36,98,48
E02006472,133,81,3,3,5,0,10,6,6,43,90,35
E02006546,133,118,2,20,11,0,17,5,5,30,104,36
E02000037,132,104,1,15,24,0,4,6,6,37,95,34
E02000290,132,115,0,8,20,0,22,4,4,31,101,45
E02000534,132,70,3,18,6,0,9,4,4,38,94,40
E02000768,132,67,0,11,8,0,6,4,4,53,79,32
E02002140,132,98,0,8,11,0,4,5,5,43,89,31
E02002273,132,29,0,3,4,0,2,4,4,33,99,44
E02002613,132,47,3,8,8,0,4,4,4,38,94,48
E02002756,132,120,1,9,18,0,6,5,5,42,90,36
E02002916,132,60,0,15,7,0,5,6,6,33,100,33
E02003208,132,90,0,26,9,0,11,7,7,39,94,35
E02003625,132,69,0,13,15,0,8,6,7,38,94,41
E02004022,132,30,0,4,3,0,3,4,5,22,110,49
E02005564,132,77,3,4,9,0,1,6,6,33,100,32
E02006767,132,54,0,6,7,2,0,6,6,28,104,34
E02006784,132,125,0,10,15,0,25,5,5,50,82,36
E02006793,132,170,1,13,24,0,47,5,5,45,87,28
E02006800,132,202,1,7,35,0,21,7,7,60,72,28
E02000133,131,54,0,15,13,0,2,6,6,45,86,34
E02000209,131,167,1,19,25,0,35,5,5,36,95,35
E02000819,131,140,0,36,20,0,29,5,5,40,91,31
E02000841,131,107,2,5,10,0,21,5,5,38,93,30
E02000881,131,128,0,20,26,0,24,4,4,63,68,40
E02000949,131,107,0,42,12,0,10,6,6,35,96,35
E02000966,131,54,0,18,9,0,8,6,6,42,89,31
E02001546,131,67,0,1,8,0,2,5,5,34,98,28
E02001972,131,103,0,6,22,0,1,6,6,42,89,39
E02002752,131,67,2,9,4,1,4,4,4,28,103,42
E02003030,131,80,1,28,16,0,4,4,4,40,91,36
E02003246,131,114,2,9,18,0,5,5,5,39,92,39
E02003689,131,56,1,6,10,0,4,5,5,48,84,31
E02003783,131,40,1,18,4,0,2,5,5,35,97,42
E02004528,131,90,0,9,5,0,9,5,5,39,92,35
E02005030,131,136,1,10,18,0,19,6,6,43,88,31
E02005589,131,110,0,28,14,0,15,7,7,38,94,29
E02005822,131,89,2,6,9,0,6,5,5,36,95,42
E02000023,130,127,0,10,15,0,11,4,4,42,88,42
E02000057,130,74,0,5,14,0,34,4,4,51,79,32
E02000389,130,101,2,45,20,0,17,5,5,35,95,32
E02000547,130,121,0,12,19,0,24,5,5,38,93,40
E02000567,130,104,0,40,13,0,16,7,6,44,86,36
E02000885,130,113,0,25,15,0,22,4,4,33,97,42
E02000886,130,89,0,24,10,0,17,4,4,56,74,33
E02002876,130,75,2,8,13,0,3,5,5,34,96,30
E02003036,130,49,2,19,10,0,3,5,5,41,89,37
E02003288,130,92,0,5,14,0,14,6,6,42,88,32
E02003521,130,69,0,25,12,0,9,5,5,31,99,27
E02003905,130,71,1,1,3,1,6,4,4,21,109,49
E02004021,130,41,1,5,3,0,5,3,4,28,102,52
E02004069,130,38,2,2,8,0,4,5,4,25,105,40
E02004159,130,74,0,8,11,0,8,6,6,19,112,35
E02004837,130,62,0,12,8,0,3,5,5,28,104,35
E02005048,130,74,0,4,5,1,4,4,4,36,94,29
E02005496,130,63,0,1,0,0,10,4,5,37,93,31
E02005979,130,60,1,18,8,0,12,6,6,32,100,26
E02000219,129,70,0,6,13,0,8,5,5,49,81,33
E02000301,129,156,1,10,28,0,24,6,6,50,79,34
E02000591,129,55,0,15,17,0,7,4,4,39,90,43
E02000673,129,85,0,27,13,0,12,5,5,37,92,47
E02000850,129,118,0,10,14,0,18,7,7,47,83,35
E02000875,129,196,0,47,31,0,24,5,5,45,84,31
E02001867,129,45,0,3,8,0,1,3,3,37,92,40
E02003531,129,59,1,10,5,0,7,5,5,36,93,24
E02003781,129,56,1,16,6,0,10,4,4,32,97,36
E02004024,129,23,2,4,2,0,2,5,4,28,102,39
E02004077,129,39,1,1,1,0,0,4,4,28,101,34
E02004981,129,60,1,3,6,0,5,5,6,40,90,28
E02005135,129,115,0,11,17,0,15,5,5,40,89,34
E02006254,129,115,2,13,19,0,7,5,5,40,89,28
E02006655,129,58,0,0,4,0,5,4,4,29,100,41
E02000287,128,55,0,4,5,0,4,4,4,33,95,37
E02000526,128,64,0,22,12,0,9,5,5,32,96,41
E02000639,128,120,0,35,13,0,43,5,5,41,87,35
E02001331,128,86,1,11,16,0,4,7,7,32,96,27
E02002270,128,57,0,1,12,0,7,5,5,35,94,37
E02002644,128,83,2,14,13,0,9,5,5,35,93,33
E02002759,128,79,4,9,8,0,5,6,8,28,100,39
E02003228,128,52,1,10,10,0,1,4,4,23,105,28
E02003530,128,70,0,17,7,0,12,5,5,41,88,38
E02004054,128,74,1,8,6,0,10,6,6,45,83,28
E02004720,128,91,2,18,13,0,19,7,7,49,79,21
E02000058,127,88,0,19,17,0,15,6,6,38,89,33
E02000084,127,92,2,10,18,0,8,7,7,41,87,31
E02000281,127,118,1,6,21,0,9,5,5,43,85,37
E02001026,127,98,1,6,18,0,1,7,6,37,90,28
E02001059,127,76,3,10,14,0,7,6,6,46,81,35
E02002452,127,75,3,3,15,0,12,5,5,32,95,29
E02003276,127,141,0,7,27,0,5,4,4,45,82,36
